long,lat,AFFGEOID,NAME,STATEFP,miles,miles_roe,miles_strict,geoid,B01001026,B17001017,B17001046,pct_women_in_poverty,women_wo_ins,B27001030,pct_women_wo_insurance
-97.63433618499607,31.90038490378346,0500000US48035,Bosque,48,398.8618762876994,36.51981431519496,398.8618762876994,05000US48035,9369,1533,7624,0.16741290815769358,1477,9164,0.16117415975556526
-98.18244667538248,30.788340885599133,0500000US48053,Burnet,48,477.77068719405673,32.911894562908,477.77068719405673,05000US48053,24001,1865,21958,0.0782856902992906,4165,23828,0.17479435957696826
-97.61999433528192,29.837092250385563,0500000US48055,Caldwell,48,540.8436114057008,27.825724261457943,540.8436114057008,05000US48055,20964,3073,16497,0.157026060296372,3730,19623,0.19008306579014422
-99.45363424729072,31.773207271522647,0500000US48083,Coleman,48,421.8867355875756,112.81407000782464,421.8867355875756,05000US48083,4018,794,3197,0.19894763217238787,804,3995,0.20125156445556946
-93.85026948391206,37.43206460923848,0500000US29057,Dade,29,111.78894714432292,91.8193687058998,111.78894714432292,05000US29057,3719,697,2925,0.1924351187189398,366,3624,0.10099337748344371
-89.65174111092917,36.59459088439372,0500000US29143,New Madrid,29,139.49602655520798,99.94205245346346,139.49602655520798,05000US29143,9053,2086,6803,0.2346720665991675,1158,8898,0.1301416048550236
-89.82444242065017,37.70715831451479,0500000US29157,Perry,29,62.18634709661077,62.18634709661077,62.18634709661077,05000US29157,9808,839,8751,0.08748696558915536,489,9649,0.05067882682143227
-90.44334713646442,38.64053524169135,0500000US29189,St. Louis,29,16.683119285708905,10.403889321561484,16.683119285708905,05000US29189,523364,52052,460074,0.10163904976509687,27965,517392,0.0540499273278288
-92.14702659090062,40.45259096997996,0500000US29199,Scotland,29,134.6687693662317,60.06852614520992,134.6687693662317,05000US29199,2551,260,2206,0.10543390105433902,791,2493,0.31728840754111515
-89.94430551713833,36.855598754615926,0500000US29207,Stoddard,29,120.33078100694703,117.15074250845429,120.33078100694703,05000US29207,15128,3100,11749,0.20876826722338204,1896,14876,0.12745361656359236
-110.43526508782294,47.880592345939114,0500000US30015,Chouteau,30,317.3439824301069,47.72667804891292,47.72667804891292,05000US30015,2878,428,2435,0.14949353824659448,200,2863,0.069856793573175
-113.06792460855858,46.060730871314554,0500000US30023,Deer Lodge,30,201.60655919421663,61.11010798974798,61.11010798974798,05000US30023,4319,838,3403,0.19759490686158926,223,4252,0.05244590780809031
